Brand, Description, Cost, Shipping, Offers (No.), Reviews (No.), Link
Intel,Intel Core i9-9900K Coffee Lake 8-Core - 16-Thread - 3.6 GHz (5.0 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I99900K Desktop Processor Intel UHD Graphics 630,$504.99,Free Shipping,(0 Offers),756,https://www.newegg.com/core-i9-9th-gen-intel-core-i9-9900k/p/N82E16819117957
Intel,Intel Core i7-9700K Coffee Lake 8-Core 3.6 GHz (4.9 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I79700K Desktop Processor Intel UHD Graphics 630,$371.99,Free Shipping,(29 Offers),756,https://www.newegg.com/core-i7-9th-gen-intel-core-i7-9700k/p/N82E16819117958
Intel,Intel Core i5-9600K Coffee Lake 6-Core 3.7 GHz (4.6 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I59600K Desktop Processor Intel UHD Graphics 630,$195.99,Free Shipping,(26 Offers),756,https://www.newegg.com/core-i5-9th-gen-intel-core-i5-9600k/p/N82E16819117959
Intel,Intel Core i7-8700K Coffee Lake 6-Core 3.7 GHz (4.7 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I78700K Desktop Processor Intel UHD Graphics 630,$349.99,Free Shipping,(19 Offers),639,https://www.newegg.com/core-i7-8th-gen-intel-core-i7-8700k/p/N82E16819117827
AMD,AMD RYZEN 5 3600 6-Core 3.6 GHz (4.2 GHz Max Boost) Socket AM4 65W 100-100000031BOX Desktop Processor,$209.99,Free Shipping,(11 Offers),1364,https://www.newegg.com/amd-ryzen-5-3600/p/N82E16819113569
AMD,AMD RYZEN 7 3700X 8-Core 3.6 GHz (4.4 GHz Max Boost) Socket AM4 65W 100-100000071BOX Desktop Processor,$274.49,Free Shipping,(16 Offers),1364,https://www.newegg.com/amd-ryzen-7-3700x/p/N82E16819113567
AMD,AMD RYZEN 9 3900X 12-Core 3.8 GHz (4.6 GHz Max Boost) Socket AM4 105W 100-100000023BOX Desktop Processor,$413.00,Free Shipping,(12 Offers),1364,https://www.newegg.com/amd-ryzen-9-3900x/p/N82E16819113103
Intel,Intel Core i5-9400 Coffee Lake 6-Core 2.9 GHz (4.1 GHz Turbo) LGA 1151 (300 Series) 65W BX80684I59400 Desktop Processor Intel UHD Graphics 630,$164.89,Free Shipping,(23 Offers),36,https://www.newegg.com/intel-core-i5-9th-gen-core-i5-9400/p/N82E16819117980
Intel,Intel Core i7-10700 Comet Lake 8-Core 2.9 GHz LGA 1200 65W BX8070110700 Desktop Processor Intel UHD Graphics 630,$334.99,Free Shipping,(10 Offers),16,https://www.newegg.com/intel-core-i7-10700-core-i7-10th-gen/p/N82E16819118126
AMD,AMD RYZEN 7 3800X 8-Core 3.9 GHz (4.5 GHz Max Boost) Socket AM4 105W 100-100000025BOX Desktop Processor,$319.99,Free Shipping,(17 Offers),1364,https://www.newegg.com/amd-ryzen-7-3800x/p/N82E16819113104
